Landmark,Coordinate 1,Coordinate 2,Coordinate 3,Coordinate 4,Coordinate 5,Coordinate 6,Coordinate 7,Coordinate 8,Coordinate 9,Coordinate 10,Coordinate 11,Coordinate 12,Coordinate 13,Coordinate 14,Coordinate 15,Coordinate 16,Coordinate 17,Coordinate 18,Coordinate 19,Coordinate 20,Coordinate 21,Coordinate 22,Coordinate 23,Coordinate 24,Coordinate 25,Coordinate 26,Coordinate 27,Coordinate 28,Coordinate 29,Coordinate 30,Coordinate 31,Coordinate 32,Coordinate 33,Coordinate 34,Coordinate 35,Coordinate 36,Coordinate 37,Coordinate 38,Coordinate 39,Coordinate 40,Coordinate 41,Coordinate 42,Coordinate 43,Coordinate 44,Coordinate 45,Coordinate 46,Coordinate 47,Coordinate 48,Coordinate 49,Coordinate 50,Coordinate 51,Coordinate 52,Coordinate 53,Coordinate 54,Coordinate 55,Coordinate 56,Coordinate 57,Coordinate 58,Coordinate 59,Coordinate 60,Coordinate 61,Coordinate 62,Coordinate 63,Coordinate 64,Coordinate 65,Coordinate 66,Coordinate 67,Coordinate 68,Coordinate 69,Coordinate 70,Coordinate 71,Coordinate 72,Coordinate 73,Coordinate 74,Coordinate 75,Coordinate 76,Coordinate 77,Coordinate 78,Coordinate 79,Coordinate 80,Coordinate 81,Coordinate 82,Coordinate 83,Coordinate 84,Coordinate 85,Coordinate 86,Coordinate 87,Coordinate 88,Coordinate 89,Coordinate 90,Coordinate 91,Coordinate 92,Coordinate 93,Coordinate 94,Coordinate 95,Coordinate 96,Coordinate 97,Coordinate 98,Coordinate 99,Coordinate 100,Coordinate 101,Coordinate 102,Coordinate 103,Coordinate 104,Coordinate 105,Coordinate 106,Coordinate 107,Coordinate 108,Coordinate 109,Coordinate 110,Coordinate 111,Coordinate 112,Coordinate 113,Coordinate 114,Coordinate 115,Coordinate 116,Coordinate 117,Coordinate 118,Coordinate 119,Coordinate 120,Coordinate 121,Coordinate 122,Coordinate 123,Coordinate 124,Coordinate 125,Coordinate 126,Coordinate 127,Coordinate 128,Coordinate 129,Coordinate 130,Coordinate 131,Coordinate 132,Coordinate 133,Coordinate 134,Coordinate 135,Coordinate 136,Coordinate 137,Coordinate 138,Coordinate 139,Coordinate 140,Coordinate 141,Coordinate 142,Coordinate 143,Coordinate 144
375,426,308,425,308,427,311,427,312,426,312,426,312,426,312,426,312,427,312,427,312,427,312,427,312,428,311,427,311,428,311,427,311,427,312,427,311,426,314,426,313,425,313,425,313,426,313,425,313,425,312,426,311,426,312,426,312,426,313,426,313,425,313,425,313,426,313,426,313,426,312,426,312,425,310,426,310,424,309,425,308,425,308,425,308,425,308,424,307,425,307
291,430,300,429,301,430,301,429,303,429,302,429,303,429,303,429,303,430,303,430,303,430,303,430,303,430,302,430,302,431,302,430,302,430,302,430,302,428,304,429,303,428,303,428,303,428,304,428,304,428,303,429,302,429,302,428,302,429,303,429,303,428,304,428,304,429,304,429,304,428,303,429,303,428,302,429,301,428,300,428,300,428,300,428,300,429,300,428,300,429,299
61,331,308,332,308,331,309,332,311,332,310,332,311,333,311,333,311,332,312,332,312,332,312,332,312,332,312,332,312,332,311,332,311,331,311,332,311,331,311,331,311,332,311,332,311,332,312,332,311,332,310,331,310,331,310,331,310,331,310,331,311,331,312,331,312,331,312,331,312,331,311,332,310,332,310,331,309,332,307,331,307,331,307,330,307,330,306,330,306,330,306
185,335,301,335,302,334,301,335,303,336,303,336,303,336,304,336,304,336,304,336,304,336,304,335,305,336,304,336,304,336,304,336,303,335,303,335,303,335,303,335,303,336,303,336,303,335,304,335,304,335,303,335,302,335,302,335,302,335,302,335,303,335,304,335,305,335,304,335,304,335,304,335,303,335,303,335,302,335,301,335,300,334,300,334,300,333,300,334,300,333,300
40,342,295,342,297,341,295,342,297,342,296,342,297,343,298,343,298,343,298,342,298,343,298,342,298,343,297,342,297,343,297,343,297,341,297,342,296,342,297,342,297,343,297,342,296,342,298,342,298,342,297,342,296,342,296,342,296,341,296,342,297,342,298,342,298,341,299,341,298,342,298,342,297,342,298,342,296,342,295,341,294,341,295,341,295,340,295,341,295,341,295
39,351,289,351,291,350,288,351,290,351,289,351,290,351,291,351,291,351,291,351,291,351,291,351,291,352,290,352,290,351,290,352,290,351,290,351,289,350,290,351,290,351,290,351,289,351,291,351,291,351,290,350,289,350,289,350,289,350,289,350,290,351,291,351,292,350,292,350,292,350,292,351,291,350,291,350,290,350,289,350,288,350,288,349,288,349,288,350,288,350,289
37,366,283,366,285,365,282,366,284,366,283,366,284,366,285,366,285,366,285,366,284,366,285,366,285,367,284,366,284,367,284,367,283,366,283,366,283,365,283,366,284,366,283,366,283,366,284,366,285,365,285,365,284,365,283,365,283,365,284,365,284,365,285,365,286,365,286,365,286,365,286,365,285,365,285,365,284,365,283,364,282,364,283,364,283,364,283,365,283,365,284
0,381,284,381,286,381,282,381,284,381,284,381,284,381,285,381,285,381,286,381,286,382,285,381,286,382,284,382,284,382,284,382,284,381,284,382,284,381,284,381,284,381,284,381,283,381,285,381,285,380,285,381,284,380,284,380,284,380,284,380,284,380,286,380,286,380,287,380,286,380,286,380,286,379,286,380,285,379,284,379,283,379,283,379,284,379,284,380,284,380,285
267,395,281,395,283,396,279,396,282,396,281,395,281,396,282,396,282,396,283,396,282,396,282,396,282,397,281,397,281,397,281,397,281,396,281,396,281,395,281,396,281,395,281,395,280,396,282,395,282,395,282,395,281,395,281,395,281,395,281,395,282,395,283,395,283,395,284,395,284,395,283,395,283,394,283,395,282,394,281,394,280,394,281,394,281,394,281,394,281,395,282
269,410,285,410,286,411,283,410,285,410,285,410,285,410,286,410,286,410,286,411,286,411,286,411,286,411,284,411,284,412,284,411,284,411,284,411,284,410,285,410,285,410,285,410,284,410,286,410,286,409,286,410,285,410,284,410,285,410,285,410,285,409,286,409,287,409,287,409,287,409,287,409,286,408,287,409,285,408,285,409,284,409,284,409,284,409,284,409,284,410,285
270,419,290,418,291,419,289,419,291,419,290,419,290,419,291,419,291,419,291,419,291,420,291,419,291,420,290,420,290,420,289,420,289,419,290,419,290,418,291,419,290,418,291,418,290,418,292,418,292,418,291,419,290,418,290,418,290,418,290,418,290,418,292,418,292,418,292,418,292,418,292,418,292,417,292,418,290,417,290,417,289,417,289,417,289,418,289,418,289,419,290
409,426,294,425,295,426,294,425,296,425,295,425,296,425,296,425,296,426,296,426,296,426,296,426,296,426,295,426,295,427,294,426,295,426,295,426,295,424,296,425,295,424,296,424,296,424,297,424,297,424,296,425,295,425,295,424,295,425,295,424,296,424,297,424,297,425,297,425,297,425,296,425,296,424,296,425,295,424,294,424,293,424,293,424,294,425,294,424,294,425,294
291,430,300,429,301,430,301,429,303,429,302,429,303,429,303,429,303,430,303,430,303,430,303,430,303,430,302,430,302,431,302,430,302,429,302,430,302,428,304,429,303,428,303,428,303,428,304,428,304,428,303,429,302,429,302,428,303,429,303,429,303,428,304,428,304,429,304,429,304,428,303,428,303,428,302,429,301,428,300,428,300,428,300,428,300,429,300,428,300,429,299
78,338,306,339,307,338,307,340,309,340,309,340,309,340,310,340,310,340,310,340,310,340,310,339,311,340,310,340,310,340,310,340,310,339,309,339,309,339,310,339,310,340,310,340,309,339,310,339,310,339,309,339,308,339,308,339,309,339,309,339,310,339,310,339,311,339,311,339,311,339,310,339,309,339,308,339,308,339,306,339,305,338,305,338,305,337,305,338,305,337,305
95,345,311,345,311,345,315,346,316,347,316,347,316,347,316,347,316,347,316,346,316,346,317,346,317,347,316,346,316,346,316,347,316,345,316,346,316,346,318,346,318,347,317,347,317,346,316,346,316,346,315,346,315,346,316,346,316,346,317,346,317,346,317,346,318,345,317,345,317,345,315,346,315,345,313,345,313,345,312,345,311,345,310,344,311,344,310,344,310,344,309
88,351,313,351,312,351,319,352,320,352,319,352,319,352,320,352,319,352,320,352,320,352,320,352,320,352,320,352,320,352,320,352,319,351,319,351,320,351,322,352,322,352,320,352,320,351,319,351,318,351,318,351,318,351,320,351,320,351,321,351,321,351,321,351,321,351,321,351,321,351,318,351,318,351,316,351,316,351,314,350,314,350,313,350,313,349,312,350,312,349,310
178,359,315,359,313,360,322,360,323,360,323,360,322,361,323,361,322,361,322,360,323,361,323,360,323,361,322,361,323,361,323,361,322,360,322,360,323,360,325,360,325,360,323,360,323,360,322,360,321,359,321,359,321,360,323,359,323,359,324,360,325,360,324,360,324,359,324,359,324,359,320,360,321,359,318,359,319,359,317,359,316,358,315,358,315,358,314,358,314,358,312
87,370,316,370,314,370,324,370,325,371,324,371,324,371,324,371,324,371,324,371,324,371,324,371,323,371,323,371,323,371,323,371,323,370,324,371,324,370,327,371,327,371,325,371,326,370,324,370,322,370,322,370,322,370,326,370,325,370,327,370,327,370,326,370,326,370,326,370,326,370,322,370,323,369,319,370,320,369,318,369,318,369,316,368,316,368,316,369,315,369,313
14,383,317,382,314,383,324,383,325,384,325,384,325,384,324,384,324,384,324,384,324,384,324,384,324,384,324,384,324,385,324,384,323,383,324,384,325,383,328,384,327,384,325,383,326,383,324,383,322,382,323,383,322,383,326,383,326,383,327,383,328,383,326,383,326,383,326,383,326,382,322,383,323,382,319,382,320,382,318,381,318,381,316,381,316,381,316,381,315,381,313
317,395,315,394,312,396,322,396,323,396,322,396,322,396,322,396,322,396,322,396,322,396,322,396,322,397,321,397,322,397,322,397,320,396,322,396,322,395,325,396,325,395,323,395,324,395,322,395,320,394,321,395,320,395,324,395,323,395,325,395,325,395,323,395,324,395,324,395,324,394,320,395,321,394,317,394,318,394,316,394,316,393,314,393,315,393,314,393,313,393,311
402,404,312,404,310,405,318,405,319,405,319,405,319,405,319,405,318,405,318,405,318,405,318,405,318,406,317,406,317,406,318,406,317,405,318,405,319,405,322,405,321,405,319,404,320,404,318,404,317,404,317,405,317,404,320,404,320,405,321,405,321,404,320,404,320,404,320,404,320,404,317,404,317,403,314,404,315,403,313,403,313,403,311,403,312,403,311,403,311,403,309
318,412,309,411,307,413,314,412,315,412,314,412,314,412,315,412,314,412,314,413,314,413,314,413,314,413,313,413,313,413,313,413,313,412,314,413,314,412,317,412,316,411,315,411,316,412,314,411,314,411,314,412,313,412,315,411,315,412,316,412,317,411,315,411,316,412,316,412,316,411,313,412,314,411,311,411,311,411,310,411,310,411,308,411,309,411,308,411,308,411,306
324,417,306,416,305,417,309,416,311,416,310,416,310,416,311,416,310,417,310,417,310,417,310,417,310,417,309,417,309,417,309,417,309,417,310,417,310,416,312,416,312,415,311,415,311,416,311,415,310,415,310,416,309,416,311,416,311,416,312,416,312,415,311,416,312,416,312,416,312,416,309,416,310,415,308,416,308,415,306,415,306,415,305,415,306,416,305,415,305,416,304
308,422,300,421,301,422,301,422,303,421,302,421,303,421,303,421,303,422,303,422,303,423,303,422,303,423,302,422,302,423,302,422,302,422,302,422,302,421,304,421,303,420,303,420,303,421,304,420,304,421,303,421,302,421,302,421,303,421,303,421,303,420,304,420,304,421,304,421,304,421,303,421,303,420,302,421,301,420,300,421,300,421,300,421,300,421,300,421,300,422,299
78,338,306,339,307,338,307,340,309,340,309,340,309,340,310,340,310,340,310,340,310,340,310,339,311,340,310,340,310,340,310,340,310,339,309,339,309,339,310,339,310,340,310,340,309,339,310,340,310,339,309,339,308,339,309,339,309,339,309,339,310,339,310,339,311,339,311,339,311,339,310,339,309,339,308,339,308,339,306,339,305,338,305,338,305,337,305,338,305,337,305
191,345,302,345,303,345,302,346,304,346,303,346,304,347,305,347,305,346,305,346,305,346,305,346,305,347,305,346,304,346,304,346,304,345,304,346,304,345,304,346,304,346,304,346,303,346,305,346,305,345,303,345,303,345,303,345,303,345,303,345,304,345,305,345,306,345,305,345,305,345,305,345,304,345,304,345,303,345,302,345,301,344,301,344,301,343,301,344,301,343,301
80,352,300,352,302,352,299,353,301,353,301,353,301,353,302,353,302,353,303,353,303,353,303,353,303,353,302,353,302,353,302,353,302,352,301,353,301,352,301,353,301,353,301,353,301,353,302,353,302,352,302,352,301,352,300,352,301,352,301,352,301,352,303,352,303,352,303,352,303,352,303,352,302,352,302,352,301,352,300,351,299,351,299,351,299,350,299,351,299,350,300
81,360,299,361,301,360,297,361,300,361,299,361,299,361,300,361,301,361,301,361,301,361,301,361,301,362,300,362,300,361,299,361,300,360,299,361,299,360,299,361,299,361,299,361,299,361,300,361,301,360,300,360,299,360,298,360,299,360,299,360,299,360,301,360,301,360,301,360,301,360,301,360,301,360,301,360,299,360,298,359,297,359,298,359,298,359,298,359,298,359,299
82,370,298,370,300,370,296,370,298,370,298,370,298,371,299,371,299,371,300,371,300,371,300,371,300,371,299,371,298,371,298,371,298,370,298,371,297,370,298,370,298,371,298,370,297,370,299,370,299,370,299,370,298,370,297,370,297,369,298,370,298,370,300,370,300,370,300,369,300,370,300,370,300,369,300,370,298,369,298,369,296,369,297,369,297,368,297,369,297,369,299
13,382,298,382,299,381,295,382,298,382,297,382,298,382,298,382,299,382,299,382,299,382,299,382,299,383,298,383,297,383,297,383,297,382,297,382,297,381,297,382,297,382,297,381,296,382,298,381,299,381,298,381,297,381,296,381,297,381,297,381,297,381,299,381,300,381,300,381,300,381,300,381,299,380,299,381,298,380,297,380,296,380,296,380,297,380,297,380,297,380,298
312,392,297,392,298,393,294,392,297,392,296,392,297,393,297,393,298,393,298,393,298,393,297,393,298,393,296,393,296,394,296,393,296,392,296,393,296,392,296,392,296,392,296,392,295,392,297,392,298,392,297,392,296,392,295,392,296,392,296,392,296,392,298,392,298,391,299,391,299,392,299,392,298,391,298,392,297,391,296,391,295,391,295,391,296,391,296,391,296,392,297
311,402,296,401,298,402,294,401,296,401,296,401,296,402,297,402,297,402,297,402,297,402,297,402,297,403,296,402,296,403,295,403,296,402,296,402,295,401,296,401,296,401,296,401,295,401,297,401,298,401,297,401,296,401,295,401,296,401,296,401,296,401,298,401,298,401,298,401,298,401,298,401,298,400,298,401,296,400,296,400,294,400,295,400,295,401,296,400,295,401,297
310,409,296,409,298,409,295,409,297,409,296,409,297,409,298,409,298,409,298,409,298,410,297,409,298,410,296,410,296,410,296,410,296,409,296,409,296,408,297,409,297,408,297,408,297,408,298,408,298,408,298,409,297,408,296,408,296,408,297,408,297,408,298,408,299,408,299,408,299,408,298,408,298,408,298,408,297,408,296,408,295,408,295,408,295,408,296,408,296,409,296
415,416,297,415,298,416,296,415,298,415,298,415,298,415,299,415,299,415,299,416,299,416,299,416,299,416,298,416,298,416,297,416,297,415,298,416,298,414,299,415,298,414,299,414,298,414,299,414,300,414,299,415,298,414,298,414,298,414,298,414,298,414,299,414,300,414,300,414,300,415,299,415,299,414,299,415,298,414,297,414,296,414,296,414,296,415,296,414,296,416,297
308,422,300,421,301,422,301,422,303,421,302,421,303,421,303,421,303,422,303,422,303,423,303,422,303,423,302,422,302,423,302,422,302,422,302,422,302,421,304,421,303,420,303,420,303,421,304,420,304,421,303,421,302,421,302,421,303,421,303,421,303,420,304,420,304,421,304,421,304,421,303,421,303,420,302,421,301,420,300,421,300,421,300,421,300,421,300,421,300,422,299
276,466,159,465,159,464,160,465,159,465,160,465,160,465,160,465,160,465,160,465,160,465,160,465,160,465,159,465,160,465,160,465,160,465,161,465,160,465,161,465,161,465,161,465,161,465,160,465,161,465,161,465,161,464,161,464,161,464,161,464,161,464,161,465,161,464,161,464,161,464,161,464,162,464,161,464,161,463,161,463,161,463,161,464,161,465,162,464,162,465,162
283,457,150,456,151,455,151,456,151,455,151,455,151,455,152,456,152,455,151,455,151,455,151,456,151,456,151,455,151,455,151,456,151,455,152,455,152,455,152,455,152,455,152,455,152,455,152,455,152,455,153,455,153,455,153,455,152,454,152,454,152,455,153,455,152,454,153,455,153,455,152,455,153,454,153,455,153,454,153,454,153,454,153,454,153,456,153,455,154,455,154
282,443,147,442,148,441,148,442,148,441,148,441,148,441,149,441,149,441,148,441,149,441,148,442,148,441,148,441,148,441,148,442,148,441,149,441,149,441,149,441,149,441,149,441,149,441,149,441,149,441,150,441,150,441,150,441,149,440,149,440,149,441,150,441,149,440,149,441,150,441,149,441,150,440,150,440,150,440,150,440,150,440,150,440,150,442,150,441,151,442,151
295,423,150,423,150,421,151,422,150,422,151,422,151,422,151,422,151,422,151,421,151,422,151,422,151,422,151,422,151,422,151,422,151,422,152,422,151,422,152,422,152,422,152,422,152,422,152,422,152,422,152,422,152,421,152,421,152,421,152,421,152,421,152,422,152,421,152,421,152,421,152,421,152,420,152,421,152,420,152,421,152,421,152,421,152,423,153,422,153,423,153
300,470,155,470,155,469,156,470,155,469,156,469,156,470,156,470,156,469,155,469,156,469,155,470,156,470,155,469,156,470,155,470,156,470,157,469,156,470,157,469,156,470,157,469,157,469,156,470,157,470,157,470,157,469,157,469,157,469,157,469,157,469,157,469,157,469,157,469,157,469,156,469,157,469,157,469,157,468,157,468,157,468,157,468,157,470,158,469,158,469,158
293,461,143,461,144,460,145,460,144,460,144,460,144,460,145,460,145,460,144,459,145,460,144,460,144,460,144,460,144,460,144,460,144,460,145,460,145,460,145,460,145,460,145,460,145,460,145,460,145,460,146,460,146,460,146,460,145,459,146,459,146,460,146,460,145,459,146,459,146,460,145,460,146,459,146,459,146,459,146,459,146,459,146,459,146,460,146,460,147,460,147
334,446,138,445,139,444,140,444,139,444,140,444,140,444,140,444,140,444,140,444,140,444,139,444,139,444,139,444,140,444,139,444,140,444,141,444,140,444,141,444,140,444,141,444,140,444,140,444,140,444,141,444,141,444,141,444,141,443,141,443,141,444,141,444,141,443,141,443,141,444,140,444,141,443,141,443,141,443,141,443,141,443,141,443,141,445,141,444,142,445,142
296,424,140,424,141,422,142,423,141,423,142,423,142,423,142,423,142,423,142,422,142,423,142,423,142,423,142,423,142,423,142,423,142,423,142,423,142,423,143,423,143,423,143,423,143,423,142,423,143,423,143,423,143,423,143,423,143,422,143,422,143,423,143,423,143,422,143,422,143,422,143,422,143,422,143,422,143,422,143,422,143,422,143,422,143,424,143,423,144,424,144
336,399,145,399,146,398,146,398,146,398,147,398,147,398,147,398,147,398,147,397,147,398,146,398,147,398,146,398,147,398,146,398,146,398,147,398,147,398,147,398,147,398,147,398,147,398,147,398,147,398,148,398,147,398,147,398,147,397,147,397,147,398,147,398,147,397,148,397,148,397,147,398,148,397,148,397,148,397,147,397,147,397,148,397,148,399,148,399,148,399,148
33,292,197,294,197,293,197,293,197,293,198,293,198,292,198,293,198,293,199,292,199,293,199,292,199,293,199,292,199,292,199,292,199,293,199,293,198,293,199,293,198,293,199,293,199,293,199,294,198,295,198,294,198,294,198,294,198,294,198,293,198,293,199,293,199,293,199,293,199,293,199,294,199,293,199,293,199,293,198,294,198,294,198,294,198,295,199,294,199,295,200
7,296,199,297,200,297,200,296,200,296,201,296,200,296,201,296,201,296,201,296,201,296,201,296,202,296,201,296,201,296,202,296,202,297,201,297,201,297,201,297,201,297,201,297,201,297,201,298,201,298,200,298,200,298,200,297,201,297,201,297,201,297,201,296,202,296,201,296,201,297,202,297,201,297,201,297,201,297,201,297,200,297,201,297,200,298,201,298,201,299,202
163,300,201,301,201,301,201,301,202,301,202,301,202,301,203,301,203,301,203,301,203,301,203,300,203,301,203,301,203,300,203,301,203,301,203,301,203,302,203,301,203,301,203,301,203,301,203,302,202,302,202,302,202,302,202,302,202,302,202,302,202,301,203,301,203,301,203,301,203,301,203,301,203,301,203,301,203,301,202,301,202,301,202,301,202,303,203,302,203,303,203
144,307,203,308,203,307,203,307,203,307,204,307,204,307,204,307,204,307,204,307,204,307,204,307,205,307,204,307,204,307,204,307,205,307,204,307,204,308,204,308,204,307,204,307,204,308,204,308,204,309,203,308,203,308,203,308,204,308,204,308,204,307,204,307,204,307,204,307,204,307,204,308,204,307,204,307,204,307,204,307,203,308,204,308,203,309,204,308,204,309,204
145,316,203,317,203,317,203,316,204,316,204,316,204,316,204,316,204,316,204,316,204,316,204,316,205,316,204,316,204,316,205,316,205,317,204,317,204,317,204,317,204,316,204,317,204,317,204,317,204,318,204,317,204,317,204,317,204,317,204,317,204,316,204,316,204,316,205,316,205,316,205,317,204,316,204,316,204,316,204,317,204,317,204,317,204,318,204,317,204,318,204
153,325,201,326,202,326,201,325,202,325,202,325,202,325,203,325,203,325,203,325,203,325,203,325,203,325,203,325,203,325,203,325,203,326,203,326,203,326,203,326,203,325,203,326,203,326,203,326,202,327,202,326,202,326,202,326,202,326,202,326,202,325,202,325,203,325,203,325,203,325,203,326,203,325,203,325,203,325,203,325,202,326,202,326,202,327,203,326,203,327,203
154,334,199,334,199,334,199,334,199,334,200,334,200,333,200,334,200,334,200,334,200,334,200,334,200,334,200,334,200,334,200,334,200,334,200,334,200,334,200,334,200,334,200,334,200,334,200,334,200,335,200,334,199,334,200,334,200,334,200,334,200,334,200,334,200,333,200,333,200,334,200,334,200,333,200,334,200,333,200,334,200,334,200,334,200,335,200,334,200,335,200
155,339,197,340,197,339,197,339,197,339,198,339,198,339,198,339,198,339,198,339,198,339,198,339,198,339,198,339,198,339,198,339,198,339,198,340,198,340,198,339,198,339,198,339,198,340,198,340,198,340,198,340,198,340,198,340,198,340,198,339,198,339,198,339,198,339,198,339,198,339,198,339,198,339,198,339,198,339,198,339,198,339,198,339,198,340,198,340,198,340,198
133,342,195,343,195,342,195,342,196,342,196,342,196,342,196,342,196,342,196,342,196,342,196,342,197,342,196,342,196,342,196,342,196,342,196,342,196,342,196,342,196,342,196,342,196,342,196,343,196,343,196,343,196,343,196,342,196,342,196,342,196,342,196,342,196,342,197,342,197,342,197,342,196,342,196,342,196,342,196,342,196,342,196,342,196,343,197,343,197,343,197
33,292,197,294,197,293,197,293,197,293,198,293,198,292,198,293,198,293,199,292,199,293,199,292,199,293,199,292,199,292,199,292,199,293,199,293,198,294,199,293,198,293,199,293,199,293,199,294,198,295,198,294,198,294,198,294,198,294,198,294,198,293,199,293,199,293,199,293,199,293,199,294,199,293,199,293,199,293,198,294,198,294,198,294,198,295,199,294,199,295,200
